segment_id,segment confidence,segment utterance count,best_sum_method,best_sum_score,no_summary,direct_summary,recursive_summary,aspect_summary,memory_summary
4134_0,0.8,15,prior_summary,0.8491830749895266,0.4287890327494288,0.698744769874477,0.8491830749895266,0.7157622739018088,0.7490589711417817
4134_1,0.6,9,prior_summary,0.6942675159235668,0.6504854368932038,0.4683544303797468,0.6942675159235668,0.5314533622559653,0.6170212765957447
4134_2,0.6499999999999999,5,prior_summary,0.7966101694915254,0.3706293706293706,0.7183098591549295,0.7966101694915254,0.7909407665505227,0.7909407665505227
4134_3,0.7,8,aspect_summary,0.6675324675324675,0.6016597510373445,0.6154873164218959,0.553072625698324,0.6675324675324675,0.6154873164218959
4134_4,0.85,15,memory_summary,0.8287112561174551,0.6130592503022975,0.7337636143606292,0.7804878048780488,0.7027250206440958,0.8287112561174551
4134_5,0.9,7,aspect_summary,0.8852459016393442,0.4054054054054054,0.7755511022044088,0.4166666666666665,0.8852459016393442,0.8275154004106776
4134_6,0.8,7,prior_summary,0.8498659517426274,0.6728971962616822,0.6721311475409837,0.8498659517426274,0.6363636363636364,0.6266666666666666
4134_7,0.9,10,aspect_summary,0.797160243407708,0.6240601503759399,0.7061909758656872,0.6511627906976744,0.797160243407708,0.548447789275635
4134_8,0.8,10,prior_summary,0.8946444249341527,0.8257839721254355,0.7224631396357328,0.8946444249341527,0.6811337466784766,0.7135183527305282
4134_9,0.6,9,prior_summary,0.7333333333333334,0.6861768368617684,0.6714471968709257,0.7333333333333334,0.6714471968709257,0.682219419924338
4134_10,0.7,8,memory_summary,0.8012422360248448,0.6521739130434783,0.7622585438335809,0.6179104477611941,0.5675675675675675,0.8012422360248448
4134_11,0.9,6,no_summary,0.7587939698492463,0.7587939698492463,0.6866840731070496,0.6915167095115682,0.6269430051813472,0.7512953367875648
4134_12,0.9,8,aspect_summary,0.7033112582781457,0.6240208877284595,0.5772787318361955,0.5410691003911343,0.7033112582781457,0.6582109479305741
4134_13,0.8,8,direct_summary,0.8264014466546112,0.6842105263157895,0.8264014466546112,0.726027397260274,0.696969696969697,0.6928000000000001
4134_14,0.8,8,aspect_summary,0.7590361445783133,0.5355587808417996,0.5332252836304701,0.7534668721109399,0.7590361445783133,0.7283531409168081
4134_15,0.9,6,direct_summary,0.8125,0.5294117647058824,0.8125,0.75,0.7391304347826086,0.75
